Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
INTEL INTEL I3 6TH GEN PROCESSOR (USED ITEM),intelinteli36th,,,,,,,5000.0,In Stock,https://pcbuilders.lk/used-intel-intel-i3/,,,
INTEL(26),intel,,,,,,,0.0,In Stock,https://pcbuilders.lk/intel-processors/,,,
CPU CONTACT FRAMES(2),contactframes,,,,,,,0.0,In Stock,https://pcbuilders.lk/cpu-contact-frames/,,,
INTEL CORE ULTRA 5 PROCESSOR (3 YEARS WARRANTY),intelultra5,,,,,,,61000.0,In Stock,https://pcbuilders.lk/intel-ultra-5-3/,,,
ASUS TUF GAMING B660M-PLUS D4 GAMING MOTHERBOARD (3 YEARS WARRANTY),asustufb660mplusd4motherboard,,,,,,,68000.0,In Stock,https://pcbuilders.lk/asus-tuf-gaming-b660m-2/,,,
ASUS ROG STRIX B760-F GAMING WI-FI (DDR5) MOTHERBOARD (3 YEARS WARRANTY),asusrogstrixb760fwifimotherboard,,,,,,,107900.0,In Stock,https://pcbuilders.lk/asus-rog-strix-b760/,,,
INTEL CORE ULTRA 7 PROCESSOR 265K 36M PROCESSOR (3 YEARS WARRANTY),intelultra7265k36m,,,,,,,109500.0,In Stock,https://pcbuilders.lk/intel-ultra-7-2/,,,
INTEL CORE I9-13900K PROCESSOR (3 YEARS WARRANTY),inteli913900k,,,,,,,169000.0,In Stock,https://pcbuilders.lk/intel-i9/,,,
INTEL CORE I5-13400 PROCESSOR (3 YEARS WARRANTY),inteli513400,59500.0,Out of Stock,https://computerzone.lk/product/intel-i5-13400-processor-processor-16/,,,,66500.0,In Stock,https://pcbuilders.lk/intel-i5-12/,,,
RYZEN 7 9800X3D PRE BUILD,ryzen79800x3dprebuild,,,,,,,970000.0,In Stock,https://pcbuilders.lk/ryzen-7/,,,
AMD RYZEN 9 9950X3D PROCESSORS (3 YEARS WARRANTY),amdryzen99950x3ds,,,,,,,232000.0,In Stock,https://pcbuilders.lk/amd-ryzen-9/,,,
AMD RYZEN 7 9800X3D PROCESSOR (3 YEARS WARRANTY),amdryzen79800x3d,,,,,,,165000.0,In Stock,https://pcbuilders.lk/amd-ryzen-7-2/,,,
AMD RYZEN 5 7600X PROCESSOR (3 YEARS WARRANTY),amdryzen57600x,69500.0,In Stock,https://computerzone.lk/product/amd-ryzen-5-7600x-processor/,,,,63500.0,In Stock,https://pcbuilders.lk/amd-ryzen-5/,,,
"AMD RYZEN 5 5600X PROCESSOR (6 CORES, 12 THREADS)",amdryzen55600x,48000.0,In Stock,https://computerzone.lk/product/amd-ryzen-5-5600x-processor-6-cores-12-threads-tray-unit/,,,,48000.0,In Stock,https://pcbuilders.lk/amd-ryzen-5-4/,,,
AMD RYZEN 7 8700F (8 CORES 16 THREADS) TRAY PROCESSOR ( 03 YEARS WARRANTY ),amdryzen78700f,,,,,,,54000.0,In Stock,https://pcbuilders.lk/amd-ryzen-7-6/,,,
AMD RYZEN 5 7600 PROCESSOR (TRAY) (3 YEARS WARRANTY),amdryzen57600,,,,,,,56500.0,In Stock,https://pcbuilders.lk/amd-ryzen-5-19/,,,
AMD RYZEN 5 7500F TRAY PROCESSOR WITHOUT BOX/FAN (3 YEARS WARRANTY),amdryzen57500foutfan,,,,,,,47500.0,In Stock,https://pcbuilders.lk/amd-ryzen-5-18/,,,
AMD RYZEN 7 8700G PROCESSOR (TRAY) (3 YEARS WARRANTY),amdryzen78700g,,,,,,,98000.0,In Stock,https://pcbuilders.lk/amd-ryzen-7-15/,,,
AMD RYZEN 3 2200G PROCESSOR (USED),amdryzen32200g,19500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-3-2200g-processor-used/,,,,,,,,,
AMD RYZEN 3 3200G PROCESSOR (USED),amdryzen33200g,21500.0,In Stock,https://computerzone.lk/product/amd-ryzen-3-3200g-processor-used/,,,,,,,,,
AMD RYZEN 5 2400G PROCESSOR (USED),amdryzen52400g,21500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-5-2400g-processor-used/,,,,,,,,,
AMD RYZEN 5 3500X PROCESSOR (USED),amdryzen53500x,23500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-5-3500x-processor/,,,,,,,,,
AMD RYZEN 5 7500F PROCESSOR (TRAY) (6 CORES 12 THREADS),amdryzen57500f,58500.0,In Stock,https://computerzone.lk/product/amd-ryzen-5-7500f-processor-6-cores-12-threads/,,,,,,,,,
"AMD RYZEN 5 8400F PROCESSOR (TRAY) (6 CORES ,12 THREADS)",amdryzen58400f,45500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-5-8400f-processor/,,,,,,,,,
"AMD RYZEN 7 7700X (8 CORES, 16 THREADS) UP TO 5.4GHZ",amdryzen77700x54,105500.0,Out of Stock,https://computerzone.lk/product/amd-ryzen-7-7700x-8-cores-16-threads/,,,,,,,,,
INTEL CORE I3 2ND GEN PROCESSOR (USED),inteli32nd,2000.0,In Stock,https://computerzone.lk/product/intel-core-i3-2nd-gen-processor-used/,,,,,,,,,
INTEL CORE I3 3RD PROCESSOR (USED),inteli33rd,3000.0,In Stock,https://computerzone.lk/product/intel-core-i3-3rd-processor-used/,,,,,,,,,
INTEL CORE I3 4TH GEN PROCESSOR (USED),inteli34th,4000.0,In Stock,https://computerzone.lk/product/intel-core-i3-4th-gen-processor-used/,,,,,,,,,
INTEL CORE I3 6TH GEN PROCESSOR (USED),inteli36th,7500.0,In Stock,https://computerzone.lk/product/intel-core-i3-6th-gen-processor-used/,,,,,,,,,
INTEL CORE I3 8TH GEN PROCESSOR (USED),inteli38th,13000.0,In Stock,https://computerzone.lk/product/intel-core-i3-8th-gen-processor-used/,,,,,,,,,
INTEL CORE I3 9TH GEN PROCESSOR (USED),inteli39th,16500.0,In Stock,https://computerzone.lk/product/intel-core-i3-9th-gen-processor-used/,,,,,,,,,
"INTEL CORE I5 13500 PROCESSOR (CORES 14, THREADS 20) (USED)",inteli513500,45500.0,Out of Stock,https://computerzone.lk/product/intel-core-i5-13500-processor/,,,,,,,,,
"INTEL CORE I5 14400F PROCESSOR 20MB CACHE 2.50 GHZ UP TO 4.70 GHZ (16 THREADS, 10 CORES) (TRAY)",inteli514400f20mb250470,59500.0,In Stock,https://computerzone.lk/product/intel-core-i5-14400f-processor/,,,,,,,,,
INTEL CORE I5 2ND GEN PROCESSOR (USED),inteli52nd,4500.0,In Stock,https://computerzone.lk/product/intel-core-i5-2nd-gen-processor-used/,,,,,,,,,
INTEL CORE I5 3RD GEN PROCESSOR (USED),inteli53rd,6000.0,In Stock,https://computerzone.lk/product/intel-core-i5-3rd-gen-processor-used/,,,,,,,,,
INTEL CORE I5 4TH GEN PROCESSOR (USED),inteli54th,8500.0,In Stock,https://computerzone.lk/product/intel-core-i5-4th-gen-processor-used/,,,,,,,,,
INTEL CORE I5 6600K 6TH GEN PROCESOR (USED),inteli56600k6thprocesor,15500.0,Out of Stock,https://computerzone.lk/product/intel-core-i5-6600k-6th-gen-procesor-used/,,,,,,,,,
INTEL CORE I5 6TH GEN PROCESOR (USED),inteli56thprocesor,12500.0,In Stock,https://computerzone.lk/product/intel-core-i5-6th-gen-procesor-used/,,,,,,,,,
INTEL CORE I5 7TH GEN PROCESOR (USED),inteli57thprocesor,16500.0,In Stock,https://computerzone.lk/product/intel-core-i5-7th-gen-procesor-used/,,,,,,,,,
INTEL CORE I5 8TH GEN PROCESOR (USED),inteli58thprocesor,22500.0,In Stock,https://computerzone.lk/product/intel-core-i5-8th-gen-procesor-used/,,,,,,,,,
"INTEL CORE I5 9400F PROCESSOR (CORES 6,THREADS 6) (USED)",inteli59400f,22000.0,In Stock,https://computerzone.lk/product/intel-core-i5-9400f-processor-cores-6threads-6-used/,,,,,,,,,
INTEL CORE I5 9TH GEN PROCESSOR (USED),inteli59th,28500.0,Out of Stock,https://computerzone.lk/product/intel-core-i5-9th-gen-processor-used/,,,,,,,,,
"INTEL CORE I7 10700 PROCESSOR (CORES 8, THREADS 16) (USED)",inteli710700,62500.0,In Stock,https://computerzone.lk/product/intel-core-i7-10700-processor/,,,,,,,,,
INTEL CORE I7 3RD GEN PROCESSOR (USED),inteli73rd,13500.0,In Stock,https://computerzone.lk/product/intel-core-i7-3rd-gen-processor-used/,,,,,,,,,
INTEL CORE I7 4TH GEN PROCESSOR (USED),inteli74th,14500.0,In Stock,https://computerzone.lk/product/intel-core-i7-4th-gen-processor-4765t-used/,,,,,,,,,
INTEL CORE I7 6TH GEN PROCESSOR (USED),inteli76th,23500.0,In Stock,https://computerzone.lk/product/intel-core-i7-6th-gen-processor-used/,,,,,,,,,
INTEL CORE I7 7TH GEN PROCESSOR (USED),inteli77th,26500.0,In Stock,https://computerzone.lk/product/intel-core-i7-7th-gen-processor-used/,,,,,,,,,
INTEL CORE I7 8TH GEN PROCESSOR (USED),inteli78th,34500.0,In Stock,https://computerzone.lk/product/intel-core-i7-8th-gen-processor-used/,,,,,,,,,
"INTEL I5 12400 PROCESSOR 18MB CACHE 2.50 GHZ UP TO 4.40 GHZ (12 THREADS, 6 CORES) (TRAY)",inteli51240018mb250440,68000.0,In Stock,https://computerzone.lk/product/intel-i5-12400-processor-18mb-cache-2-50/,,,,,,,,,
"INTEL® CORE™ I5 10600KF PROCESSOR (CORES 6,THREADS 12) (USED)",inteli510600kf,38500.0,Out of Stock,https://computerzone.lk/product/intel-core-i5-10600kf-processor/,,,,,,,,,
"INTEL® CORE™ I5-10500 PROCESSOR (CORES 6, THREADS 12) (USED)",inteli510500,36500.0,In Stock,https://computerzone.lk/product/intel-core-i5-10400f-processor/,,,,,,,,,
"INTEL® CORE™ I7 11700 PROCESSOR (CORES 8, THREADS 16) (USED)",inteli711700,65000.0,In Stock,https://computerzone.lk/product/intel-core-i7-11700-processor-cores-8/,,,,,,,,,
