Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
"Samsung 65"" DU7700 Crystal 4K UHD Smart TV",samsung65du7700crystal4kuhdsmarttv,379000.0,Out of Stock,https://www.nanotek.lk/product/samsung-65-du7700-crystal-4k-uhd-smart-tv
"Samsung 75"" DU7700 Crystal 4K UHD Smart TV",samsung75du7700crystal4kuhdsmarttv,624000.0,In Stock,https://www.nanotek.lk/product/samsung-75-du7700-crystal-4k-uhd-smart-tv
"Samsung 43"" DU7500 Crystal 4K UHD Smart TV",samsung43du7500crystal4kuhdsmarttv,189000.0,Out of Stock,https://www.nanotek.lk/product/samsung-43-du7500-crystal-4k-uhd-smart-tv
"Samsung 55"" DU7500 Crystal 4K UHD Smart TV",samsung55du7500crystal4kuhdsmarttv,269000.0,out of stock,https://www.nanotek.lk/product/samsung-55-du7500-crystal-4k-uhd-smart-tv
