Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
ANTEC AX22 ELITE Mid-Tower Case,antecax22elitemidtowercase,,,,,,,12500.0,Out of Stock,https://www.winsoft.lk/product/antec-ax22-elite/
DeepCool CH510 Casing,deepcoolch510casing,,,,,,,25000.0,Out of Stock,https://www.winsoft.lk/product/deepcool-ch510-casing/
Deepcool Cyclops White Mid Tower Gaming Casing,deepcoolcyclopswhitemidtowercasing,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-cyclops-white-mid-tower-gaming/
DEEPCOOL MATREXX 30 SI Mini Tower Casing,deepcoolmatrexx30siminitowercasing,,,,,,,9000.0,Out of Stock,https://www.winsoft.lk/product/deepcool-matrexx-30-si-mini-tower-casing/
GIGABYTE C200 GLASS Mid Tower Gaming Casing,gigabytec200glassmidtowercasing,,,,,,,16500.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-c200-glass-gaming-casing/
DeepCool MACUBE 110 WH Casing,deepcoolmacube110whcasing,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-macube-110-wh-casing/
DeepCool CC360 ARGB White Micro-ATX Gaming Case,deepcoolcc360argbwhitemicroatxcase,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-cc360-argb-white-micro-atx-gaming/
Cooler Master MasterBox K501L ARGB Mid Tower Case,mastermasterk501largbmidtowercase,,,,,,,16500.0,Out of Stock,https://www.winsoft.lk/product/cooler-master-masterbox-k501l-argb/
DeepCool CH370 WH Micro ATX Casing,deepcoolch370whmicroatxcasing,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-ch370-wh-micro-atx-casing/
Deepcool Cyclops Black Mid Tower Gaming Casing,deepcoolcyclopsblackmidtowercasing,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-cyclops-black-mid-tower-gaming/
DeepCool AG500 BK Single-Tower Performance Air cooler,deepcoolag500bksingletowerperformanceair,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-ag500-bk-air-cooler/
Gigabyte Aorus C300 Glass RGB ATX Mid Tower Gaming Casing,gigabyteaorusc300glassrgbatxmidtowercasing,,,,,,,27500.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-aorus-c300-glass-rgb-atx-mid-tower-gaming-case/
ANTEC AX20 ELITE RGB GAMING CASING,antecax20elitergbcasing,12500.0,Out of Stock,https://computerzone.lk/product/antec-ax20-elite-rgb-gaming-casing/,,,,,,
ANTEC AX65 ARGB GAMING CASING,antecax65argbcasing,15500.0,Out of Stock,https://computerzone.lk/product/antec-ax65-argb-gaming-casing/,,,,,,
ANTEC AX81 ELITE ARGB GAMING CASING,antecax81eliteargbcasing,16500.0,In Stock,https://computerzone.lk/product/antec-ax81-elite-argb-gaming-casing/,,,,,,
ANTEC AX85 ARGB GAMING CASING,antecax85argbcasing,16500.0,In Stock,https://computerzone.lk/product/antec-ax85-argb-gaming-casing/,,,,,,
ANTEC CX300 ARGB GAMING CASING,anteccx300argbcasing,18500.0,Out of Stock,https://computerzone.lk/product/antec-cx300-argb-gaming-casing/,,,,,,
ANTEC DF600 FLUX GAMING CASING,antecdf600fluxcasing,24500.0,Out of Stock,https://computerzone.lk/product/antec-df600-flux-gaming-casing/,,,,,,
ANTEC NX416L ARGB GAMING CASING,antecnx416largbcasing,22500.0,Out of Stock,https://computerzone.lk/product/antec-nx416l-argb-gaming-casing/,,,,,,
ANTEC P20C ARGB GAMING CASING,antecp20cargbcasing,23500.0,Out of Stock,https://computerzone.lk/product/antec-p20c-argb-gaming-casing/,,,,,,
ANTEC PERFORMANCE 1 FT ARGB FULL TOWER CASING,antecperformance1ftargbfulltowercasing,45500.0,In Stock,https://computerzone.lk/product/antec-performance-1-ft-argb-full-tower/,,,,,,
ANTEC VCX300 ARGB GAMING CASING,antecvcx300argbcasing,12000.0,In Stock,https://computerzone.lk/product/antec-vcx300-argb-gaming-casing/,,,,,,
ANTEC VX310 ARGB GAMING CASE,antecvx310argbcase,10500.0,In Stock,https://computerzone.lk/product/antec-vx310-argb-gaming-case/,,,,,,
FALCON F 5031 GAMING CASING,falconf5031casing,4500.0,In Stock,https://computerzone.lk/product/falcon-f-5031-gaming-casing-2/,,,,,,
FALCON F335 GAMING CASING (WITHOUT FAN),falconf335casing,8500.0,In Stock,https://computerzone.lk/product/falcon-f335-gaming-casing-without-fan/,,,,,,
FALCON F5022 GAMING CASING,falconf5022casing,4500.0,In Stock,https://computerzone.lk/product/falcon-f5022-gaming-casing/,,,,,,
FALCON F8011 GAMING CASING,falconf8011casing,7800.0,In Stock,https://computerzone.lk/product/falcon-f8011-gaming-casing/,,,,,,
FURRY T8 BLACK GAMING CASING (WITHOUT FAN),furryt8blackcasing,7500.0,Out of Stock,https://computerzone.lk/product/furry-t8-black-gaming-casing-without-fan/,,,,,,
FURRY T8 WHITE GAMING CASING (WITHOUT FAN),furryt8whitecasing,8500.0,In Stock,https://computerzone.lk/product/furry-t8-white-gaming-casing-without-fan/,,,,,,
GAMDIAS ATHENA M3 ARGB MID-TOWER GAMING CASE,gamdiasathenam3argbmidtowercase,17500.0,Out of Stock,https://computerzone.lk/product/gamdias-athena-m3-argb-mid-tower-gaming-case/,,,,,,
GAMDIAS AURA GC1 ELITE RGB MID-TOWER CASE,gamdiasauragc1elitergbmidtowercase,14000.0,Out of Stock,https://computerzone.lk/product/gamdias-aura-gc1-elite-rgb-mid-tower-case/,,,,,,
GAMDIAS AURA GC10M ARGB MICRO-TOWER CASE,gamdiasauragc10margbmicrotowercase,15000.0,In Stock,https://computerzone.lk/product/gamdias-aura-gc10m-argb-micro-tower-case/,,,,,,
GAMDIAS AURA GC5 ELITE WITH DIGITAL DISPLAY ARGB MID-TOWER CASE BLACK,gamdiasauragc5elitedigitaldisplayargbmidtowercaseblack,15500.0,In Stock,https://computerzone.lk/product/gamdias-aura-gc5-elite-with-digital-display-argb-mid-tower-case-black/,,,,,,
GAMDIAS AURA GC5 ELITE WITH DIGITAL DISPLAY ARGB MID-TOWER CASE WHITE,gamdiasauragc5elitedigitaldisplayargbmidtowercasewhite,15500.0,In Stock,https://computerzone.lk/product/gamdias-aura-gc5-elite/,,,,,,
GOLDEN FIELD Z2 GAMING CASING (WITHOUT FAN),goldenfieldz2casing,15500.0,Out of Stock,https://computerzone.lk/product/golden-field-z2-gaming-casing-without-fan/,,,,,,
GOLDENFEILD 1098B GAMING CASING,goldenfeild1098bcasing,10500.0,In Stock,https://computerzone.lk/product/goldenfeild-1098b-gaming-casing/,,,,,,
GOLDENFEILD GZ360 WHITE GAMING CASING (WITHOUT FAN),goldenfeildgz360whitecasing,16500.0,Out of Stock,https://computerzone.lk/product/goldenfeild-gz360-white-gaming-casing/,,,,,,
GOLDENFEILD N39B GAMING CASING (WITHOUT FAN),goldenfeildn39bcasing,8500.0,Out of Stock,https://computerzone.lk/product/goldenfeild-n39b-gaming-casing/,,,,,,
GOLDENFEILD Q14B CASING,goldenfeildq14bcasing,5500.0,In Stock,https://computerzone.lk/product/goldenfeild-q14b-casing/,,,,,,
GOLDENFEILD SEAVIEW PLUS GAMING CASING (WITHOUT FAN),goldenfeildseaviewpluscasing,11500.0,Out of Stock,https://computerzone.lk/product/goldenfeild-seaview-plus-gaming-casing/,,,,,,
GOLDENFIELD LITTLE ANT CASING,goldenfieldlittleantcasing,4500.0,In Stock,https://computerzone.lk/product/goldenfield-little-ant-casing/,,,,,,
GOLDENFIELD SNOW GAMING CASING (WITHOUT FAN),goldenfieldsnowcasing,8500.0,In Stock,https://computerzone.lk/product/goldenfield-snow-gaming-casing/,,,,,,
