Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
DeepCool PM850D 80+ Gold Power Supply,deepcoolpm850d80goldpowersupply,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-pm850d-80-gold-power-supply/
GIGABYTE GP-P550B 80 Plus Bronze 550W Power Supply,gigabytegpp550b80plusbronze550wpowersupply,,,,,,,16500.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-80-plus-bronze-550w-power-supply/
AORUS P1200W 80+ PLATINUM MODULAR POWER SUPPLY,aorusp1200w80platinummodularpowersupply,,,,,,,145000.0,Out of Stock,https://www.winsoft.lk/product/aorus-p1200w-80-platinum-modularpower-supply/
CORSAIR CV450 – 450W 80+ BRONZE POWER SUPPLY,corsaircv450450w80bronzepowersupply,,,,,,,17000.0,Out of Stock,https://www.winsoft.lk/product/corsair-cv450-450-watt-80-plus-bronze-power-supply/
GIGABYTE GP-P650B 80 Plus Bronze 650W Power Supply,gigabytegpp650b80plusbronze650wpowersupply,,,,,,,18500.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-80-plus-bronze-650w-power-supply/
SilverStone 850W 80 Plus Platinum Fully Modular Power Supply,silverstone850w80plusplatinumfullymodularpowersupply,,,,,,,60000.0,Out of Stock,https://www.winsoft.lk/product/silverstone-850w-80-plus-platinum/
CORSAIR CV550 – 550W 80+ BRONZE POWER SUPPLY,corsaircv550550w80bronzepowersupply,,,,,,,21000.0,Out of Stock,https://www.winsoft.lk/product/corsair-cv550-550-watt-80-plus-bronze-certified-power-supply/
Corsair CV650 650W 80+ Bronze Power Supply,corsaircv650650w80bronzepowersupply,,,,,,,25500.0,Out of Stock,https://www.winsoft.lk/product/corsair-cv650-650-watt-80-plus-bronze/
CORSAIR CV750 – 750W 80+ BRONZE POWER SUPPLY,corsaircv750750w80bronzepowersupply,,,,,,,29000.0,Out of Stock,https://www.winsoft.lk/product/corsair-cv750-750-watt-80-plus-bronze-certified-power-supply/
ASUS Delta 250W Power Supply GPS-300CB A,asusdelta250wpowersupplygps300cba,,,,,,,5000.0,Out of Stock,https://www.winsoft.lk/product/asus-delta-250w-power-supply-gps-300cb-a/
Corsair HX1200 1200W 80+ Platinum fully Modular Power Supply,corsairhx12001200w80platinumfullymodularpowersupply,,,,,,,100000.0,Out of Stock,https://www.winsoft.lk/product/corsair-hx1200-1200w-80-platinum-fully-modular-power-supply/
DeepCool  PK450D 450W 80+ Bronze Power Supply,deepcoolpk450d450w80bronzepowersupply,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-pk450d-80-bronze-power-supply/
