Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
NZXT F120 RGB Core 120mm Hub-Mounted Triple Pack RGB Fan With RGB Controller WHITE/BLACK,nzxtf120rgb120mmhubmountedtriplergbfanrgbcontrollerwhiteblack,,,,28000.0,Out of Stock,https://www.nanotek.lk/product/nzxt-f120-rgb-core-120mm-hub-mounted-triple-pack-rgb-fan-with-rgb-controller-whiteblack,,,
Lian Li UNI Fan SL120 V2 Fan Pack,lianliunifansl120v2fan,,,,43000.0,Out of Stock,https://www.nanotek.lk/product/lian-li-uni-fan-sl120-v2-fan-pack,,,
NZXT F120 RGB Core 120mm Hub-Mounted Single Pack RGB Fan WHITE/ Black,nzxtf120rgb120mmhubmountedsinglergbfanwhiteblack,,,,10000.0,Out of Stock,https://www.nanotek.lk/product/nzxt-f120-rgb-core-120mm-hub-mounted-single-pack-rgb-fan-white-black,,,
NZXT Kraken 360 RGB Black/ White Liquid Cooler with LCD Display,nzxtkraken360rgbblackwhiteliquidlcddisplay,,,,39500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-kraken-360-rgb-black-white-liquid-cooler-with-lcd-display,,,
NZXT T120 RGB CPU AIR COOLER WHITE/BLACK,nzxtt120rgbairwhiteblack,,,,14500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-t120-rgb-cpu-air-cooler-whiteblack,,,
NZXT Kraken 360 Black Liquid Cooler with LCD Display,nzxtkraken360blackliquidlcddisplay,,,,36500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-kraken-360-black-liquid-cooler-with-lcd-display,,,
NZXT F140 RGB DUO 140mm Hub-Mounted Twin Pack RGB Fan with RGB Controller WHITE/Black,nzxtf140rgbduo140mmhubmountedtwinrgbfanrgbcontrollerwhiteblack,,,,12500.0,In Stock,https://www.nanotek.lk/product/nzxt-f140-rgb-duo-140mm-hub-mounted-twin-pack-rgb-fan-with-rgb-controller-whiteblack,,,
NZXT Kraken Elite 360 RGB White Liquid Cooler with LCD Display & RGB Fans,nzxtkrakenelite360rgbwhiteliquidlcddisplayrgbfans,,,,56500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-kraken-elite-360-rgb-white-liquid-cooler-with-lcd-display-rgb-fans,,,
Noctua NT-H1 10G Thermal Compound,noctuanth110gthermalcompound,,,,8500.0,Out of Stock,https://www.nanotek.lk/product/noctua-nt-h1-10g-thermal-compound,,,
ANTEC N12 120MM BLACK FANS - 3 FAN KIT,antecn12120mmblackfans3fankit,,,,4500.0,In Stock,https://www.nanotek.lk/product/antec-n12-120mm-black-fans-3-fan-kit,,,
