Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
CANON PIXMA MG2570S 3 IN 1 INKJET PRINTER,canonpixmamg2570s3in1inkjetprinter,16000.0,In Stock,https://www.nanotek.lk/product/canon-pixma-mg2570s-3-in-1-inkjet-printer
HP DeskJet Ink Advantage 2336 ( Print | Copy | Scan),hpdeskjetinkadvantage2336,25500.0,Out of Stock,https://www.nanotek.lk/product/hp-deskjet-ink-advantage-2336-print-copy-scan
Canon G3010 Ink Tank Printer- Print | Scan | Copy | Wireless,canong3010inktankprinterprintscancopywireless,58500.0,In Stock,https://www.nanotek.lk/product/canon-g3010-ink-tank-printer-print-scan-copy-wireless
Canon PIXMA G2010 Ink Tank ( Print | Copy | Scan),canonpixmag2010inktank,48000.0,In stock,https://www.nanotek.lk/product/canon-pixma-g2010-ink-tank-print-copy-scan
HP Smart Tank 520 ( Print | Copy | Scan),hpsmarttank520,49500.0,In Stock,https://www.nanotek.lk/product/hp-smart-tank-520-print-copy-scan
HP Smart Tank 580 ( Print | Copy | Scan | Wireless),hpsmarttank580,58500.0,In Stock,https://www.nanotek.lk/product/hp-smart-tank-580-print-copy-scan-wireless
