Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
ZOTAC GAMING GeForce RTX 5070 Ti AMP Extreme INFINITY ULTRA,zotacgeforcertx5070tiampextremeinfinityultra,,,,370000.0,Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5070-ti-amp-extreme-infinity-ultra,,,,,,
ZOTAC GAMING GeForce RTX 5060 Ti 8GB Twin Edge,zotacgeforcertx5060ti8gbtwinedge,,,,174000.0,In Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5060-ti-8gb-twin-edge,,,,,,
MSI RTX 5060 GAMING TRIO OC 8GB,msirtx5060triooc8gb,,,,165000.0,Out of Stock,https://www.nanotek.lk/product/msi-rtx-5060-gaming-trio-oc-8gb,,,,,,
MSI RTX 5060 TI VENTUS 2X PLUS OC 16GB,msirtx5060tiventus2xplusoc16gb,,,,196000.0,Out of Stock,https://www.nanotek.lk/product/msi-rtx-5060-ti-ventus-2x-plus-oc-16gb,,,,,,
MSI GeForce RTX 5050 8G VENTUS 2X OC,msigeforcertx50508gventus2xoc,,,,132000.0,In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5050-8g-ventus-2x-oc,,,,,,
MSI GeForce RTX 5050 8GB SHADOW 2X OC,msigeforcertx50508gbshadow2xoc,,,,127500.0,In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5050-8gb-shadow-2x-oc,,,,,,
ASUS Dual GeForce RTX 5060 Ti 8GB GDDR7 OC,asusdualgeforcertx5060ti8gbgddr7oc,,,,185000.0,In Stock,https://www.nanotek.lk/product/asus-dual-geforce-rtx-5060-ti-8gb-gddr7-oc,,,,,,
MSI GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS,msigeforcertx5060ti8gshadow2xocplus,,,,179000.0,In Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-ti-8g-shadow-2x-oc-plus,,,,,,
ANTEC DAGGER ARGB GPU HOLDER,antecdaggerargbgpuholder,,,,8500.0,In stock,https://www.nanotek.lk/product/antec-dagger-argb-gpu-holder,8500.0,In Stock,https://pcbuilders.lk/antec-2/,,,
MSI GeForce RTX 5070 12G SHADOW 3X OC,msigeforcertx507012gshadow3xoc,,,,275000.0,Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5070-12g-shadow-3x-oc-1,,,,,,
MSI GeForce RTX 5070 Ti 16G GAMING TRIO OC,msigeforcertx5070ti16gtriooc,,,,369000.0,Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5070-ti-16g-gaming-trio-oc-1,,,,,,
ANTEC RGB GPU HOLDER,antecrgbgpuholder,,,,7500.0,In Stock,https://www.nanotek.lk/product/antec-rgb-gpu-holder,7500.0,In Stock,https://pcbuilders.lk/antec-3/,,,
ZOTAC GAMING GeForce RTX 5070 SOLID 12GB,zotacgeforcertx5070solid12gb,,,,237000.0,Out of Stock,https://www.nanotek.lk/product/zotac-gaming-geforce-rtx-5070-solid-12gb-1,,,,,,
MSI GeForce RTX 5060 Ti 16G GAMING TRIO OC,msigeforcertx5060ti16gtriooc,,,,220000.0,Out of Stock,https://www.nanotek.lk/product/msi-geforce-rtx-5060-ti-16g-gaming-trio-oc,,,,,,
