Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Lenovo IdeaCentre AIO (All In One) 24IRH9 i7H 13th GEN,lenovoideacentreaio24irh9i7h13th,304500.0,In Stock,https://www.nanotek.lk/product/lenovo-ideacentre-aio-all-in-one-24irh9-i7h-13th-gen
Lenovo IdeaCentre AIO (All In One) 24IRH9 i5H 13th GEN,lenovoideacentreaio24irh9i5h13th,252500.0,In Stock,https://www.nanotek.lk/product/lenovo-ideacentre-aio-all-in-one-24irh9-i5h-13th-gen
Lenovo A100 i3 13th GEN All in One,lenovoa100i313thallinone,154000.0,In Stock,https://www.nanotek.lk/product/lenovo-a100-i3-13th-gen-all-in-one
