Component Name,Normalized Name,Winsoft Price,Winsoft Status,Winsoft URL
ANTEC NeoEco NE850G Gold Modular M ATX 3.0 850W,antecneoecone850ggoldmodularmatx30850w,41500.0,Out of Stock,https://www.winsoft.lk/product/antec-neoeco-ne850g-gold-modular/
Western Digital 1TB SATA Laptop Hard Disk – WD10SPZX,westerndigital1tbsatalaptopharddiskwd10spzx,13500.0,Out of Stock,https://www.winsoft.lk/product/western-digital-1tb-sata-laptop-hard-disk-wd10spzx/
