Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL
JBL PARTYBOX STAGE 320 OUTDOOR PORTABLE SPEAKER,jblpartystage320outdoorportablespeaker,185000.0,In Stock,https://computerzone.lk/product/jbl-partybox-stage-320/
PHILIPS BLUETOOTH PARTY BOX TAX2208/00,philipsbluetoothpartytax220800,16500.0,In Stock,https://computerzone.lk/product/philips-bluetooth-party-box-tax2208-00/
