Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Huion HS64 Pen Tablet,huionhs64pentablet,15500.0,In stock,https://www.nanotek.lk/product/huion-hs64-pen-tablet
Huion HS611 Pen & Drawing Tablet,huionhs611pendrawingtablet,27500.0,Eta 25th of Feb,https://www.nanotek.lk/product/huion-hs611-pen-drawing-tablet
XPPen Star G640 Digital Graphic Tablet 6x4 Inch Art Tablet,xppenstarg640digitalgraphictablet6x4incharttablet,16000.0,In stock,https://www.nanotek.lk/product/xppen-star-g640-digital-graphic-tablet-6x4-inch-art-tablet
