Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL
FANTECH WGP13S – 2.4G SHOOTER III MULTI PLATFORM HALL EFFECT GAMEPAD,fantechwgp13s24gshooteriiimultiplatformhalleffectgamepad,8300.0,In Stock,https://computerzone.lk/product/fantech-wgp13s-2-4g-shooter-iii-gamepad/
LOGITECH G DRIVING FORCE SHIFTER FOR G29 STEERING,logitechgdrivingforceshifterforg29steering,21500.0,In Stock,https://computerzone.lk/product/logitech-g-driving-force-shifter-for-g29/
LOGITECH G29 DRIVING FORCE STEERING WHEELS & PEDALS,logitechg29drivingforcesteeringwheelspedals,108000.0,In Stock,https://computerzone.lk/product/logitech-g29-driving-force-steering-wheels/
PXN V3 PRO BLACK RACING STEERING WHEEL,pxnv3problackracingsteeringwheel,26000.0,In Stock,https://computerzone.lk/product/pxn-v3-pro-black-racing-steering-wheel/
SONY PLAYSTATION DUALSHOCK 4 WIRELESS CONTROLLER,sonyplaystationdualshock4wirelesscontroller,6000.0,In Stock,https://computerzone.lk/product/sony-playstation-dualshock-4-wireless-controller/
