Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Emsisoft Anti-Malware Virus Guard - 1 User / 1 Year,emsisoftantimalwarevirusguard1user1,1700.0,In Stock,https://www.nanotek.lk/product/emsisoft-anti-malware-virus-guard-1-user-1-year
KASPERSKY STANDARD ANTI-VIRUS GUARD 1 DEVICE 1YEAR,kasperskystandardantivirusguard1device1,1800.0,In Stock,https://www.nanotek.lk/product/kaspersky-standard-anti-virus-guard-1-device-1year
Microsoft Windows 11 Professional Genuine Key,microsoftwindows11professionaluinekey,57000.0,In Stock,https://www.nanotek.lk/product/microsoft-windows-11-professional-genuine-key
