Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
"APPLE MACBOOK PRO M5 14"" 16GB 512GB",applemacbookprom51416gb512gb,549000.0,ETA FRIDAY,https://www.nanotek.lk/product/apple-macbook-pro-m5-14-16gb-512gb
"APPLE MACBOOK AIR M3 13"" 24GB 512GB",applemacbookairm31324gb512gb,399000.0,In Stock,https://www.nanotek.lk/product/apple-macbook-air-m3-13-24gb-512gb
"APPLE MACBOOK AIR M4 13"" 16GB 512GB",applemacbookairm41316gb512gb,375000.0,In Stock,https://www.nanotek.lk/product/apple-macbook-air-m4-13-16gb-512gb
"APPLE MACBOOK AIR M4 13"" 16GB 256GB",applemacbookairm41316gb256gb,299000.0,Out of Stock,https://www.nanotek.lk/product/apple-macbook-air-m4-13-16gb-256gb
APPLE MAC MINI M4 16GB 256GB,applemacminim416gb256gb,204000.0,In Stock,https://www.nanotek.lk/product/apple-mac-mini-m4-16gb-256gb
"APPLE MACBOOK AIR M2 13"" 16GB 256GB",applemacbookairm21316gb256gb,249000.0,Out of Stock,https://www.nanotek.lk/product/apple-macbook-air-m2-13-16gb-256gb-1
APPLE MAC MINI M4 16GB 512GB,applemacminim416gb512gb,264000.0,Out of Stock,https://www.nanotek.lk/product/apple-mac-mini-m4-16gb-512gb
