Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
ONIKUMA X7 PRO WIRED RGB GAMING HEADSET,onikumax7prowiredrgbheadset,,,,6000.0,In Stock,https://www.nanotek.lk/product/onikuma-x7-pro-wired-rgb-gaming-headset,,,,,,
ONIKUMA K20 RGB WIRED GAMING HEADSET,onikumak20rgbwiredheadset,,,,6000.0,Out of Stock,https://www.nanotek.lk/product/onikuma-k20-rgb-wired-gaming-headset,,,,,,
Anker Soundcore Select 4 Go Shower Speaker,ankersoundselect4goshowerspeaker,,,,7500.0,Out of Stock,https://www.nanotek.lk/product/anker-soundcore-select-4-go-shower-speaker,,,,,,
LOGITECH G PRO X SE WIRED GAMING HEADSET,logitechgproxsewiredheadset,,,,35000.0,In stock,https://www.nanotek.lk/product/logitech-g-pro-x-se-wired-gaming-headset,,,,,,
FANTECH TONE II HQ56 WIRED GAMING HEADSET,fantechtoneiihq56wiredheadset,,,,2500.0,In Stock,https://www.nanotek.lk/product/fantech-tone-ii-hq56-wired-gaming-headset,,,,,,
FANTECH GROOVE BAR LITE GS206 SPEAKER,fantechgroovebarlitegs206speaker,,,,5000.0,In Stock,https://www.nanotek.lk/product/fantech-groove-bar-lite-gs206-speaker,,,,,,
ONIKUMA GT839 Multi Mode Gaming Headset,onikumagt839multimodeheadset,,,,8000.0,Out of Stock,https://www.nanotek.lk/product/onikuma-gt839-multi-mode-gaming-headset,,,,,,
ONIKUMA B60 Gaming Headset,onikumab60headset,,,,6500.0,In Stock,https://www.nanotek.lk/product/onikuma-b60-gaming-headset,,,,,,
SteelSeries Arctis NOVA 1 Gaming Headset,steelarctisnova1headset,,,,30000.0,In Stock,https://www.nanotek.lk/product/steelseries-arctis-nova-1-gaming-headset,,,,,,
SteelSeries Arctis NOVA 5 Gaming Headset,steelarctisnova5headset,,,,50000.0,Out of Stock,https://www.nanotek.lk/product/steelseries-arctis-nova-5-gaming-headset,,,,,,
SteelSeries Arctis NOVA 7 Gaming Headset,steelarctisnova7headset,,,,73500.0,Out of Stock,https://www.nanotek.lk/product/steelseries-arctis-nova-7-gaming-headset,,,,,,
SteelSeries Arctis NOVA PRO Wireless Gaming Headset,steelarctisnovaprowirelessheadset,,,,132000.0,Out of Stock,https://www.nanotek.lk/product/steelseries-arctis-nova-pro-wireless-gaming-headset,,,,,,
FANTECH CHIEF II HG20 HEADSET,fantechchiefiihg20headset,,,,5500.0,In stock,https://www.nanotek.lk/product/fantech-chief-ii-hg20-headset,5000.0,In Stock,https://pcbuilders.lk/fantech-chief-ii-hg20/,,,
FANTECH HG23 OCTANE 7.1 Surround Gaming Headset,fantechhg23octane71surroundheadset,,,,7500.0,In stock,https://www.nanotek.lk/product/fantech-hg23-octane-71-surround-gaming-headset,,,,,,
FANTECH HG30 CARBON 7.1 HEADSET,fantechhg30carbon71headset,,,,8500.0,In Stock,https://www.nanotek.lk/product/fantech-hg30-carbon-71-headset,,,,,,
FANTECH HG11 PRO VIBRATION 7.1 SURROUNDING HEADSET,fantechhg11provibration71surroundingheadset,9500.0,In Stock,https://computerzone.lk/product/fantech-hg11-pro-vibration-7-1-headset/,9500.0,Out of Stock,https://www.nanotek.lk/product/fantech-hg11-pro-vibration-71-surrounding-headset,,,,,,
FANTECH WHG05 STELLAR Wireless HEADSET BLACK,fantechwhg05stellarwirelessheadsetblack,,,,9000.0,In Stock,https://www.nanotek.lk/product/fantech-whg05-stellar-wireless-headset-black,10000.0,In Stock,https://pcbuilders.lk/fantech-whg05-black/,,,
FANTECH MH89 VALOR II Multi-Platform Gaming Headset,fantechmh89valoriimultiplatformheadset,,,,5000.0,In Stock,https://www.nanotek.lk/product/fantech-mh89-valor-ii-multi-platform-gaming-headset,,,,,,
Anker Soundcore Liberty 5 ANC Earbuds,ankersoundliberty5ancearbuds,,,,22500.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-liberty-5-anc-earbuds,,,,,,
Anker Soundcore H30i Wireless On-Ear Headphones,ankersoundh30iwirelessonearheadphones,,,,9000.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-h30i-wireless-on-ear-headphones,,,,,,
Anker Soundcore Space One Over Ear Headphones,ankersoundspaceoneoverearheadphones,,,,20000.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-space-one-over-ear-headphones,,,,,,
Corsair VIRTUOSO RGB WIRELESS XT High-Fidelity Gaming Headset,corsairvirtuosorgbwirelessxthighfidelityheadset,,,,108000.0,In Stock,https://www.nanotek.lk/product/corsair-virtuoso-rgb-wireless-xt-high-fidelity-gaming-headset,,,,,,
