Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
Lexar NM620 M.2 Gen3x4 NVMe 256GB,lexarnm620m23x4nvme256gb,,,,12500.0,Out of Stock,https://www.nanotek.lk/product/lexar-nm620-m2-gen3x4-nvme-256gb,,,,,,
TEAM TFORCE VULCAN Z QLC SATA SSD 2TB,teamtforcevulcanzqlcsatassd2tb,,,,38500.0,Out of Stock,https://www.nanotek.lk/product/team-tforce-vulcan-z-qlc-sata-ssd-2tb,,,,,,
TOSHIBA L200 1TB LAPTOP HARD DISK,toshibal2001tblaptopharddisk,,,,17000.0,Out of Stock,https://www.nanotek.lk/product/toshiba-l200-1tb-laptop-hard-disk,,,,,,
ADDLINK S70 LITE SSD NVME PCIE GEN3X4 M.2 1TB,addlinks70litessdnvmepcie3x4m21tb,,,,24500.0,Out of Stock,https://www.nanotek.lk/product/addlink-s70-lite-ssd-nvme-pcie-gen3x4-m2-1tb,,,,,,
ADDLINK S70 LITE SSD NVME PCIE GEN3X4 M.2 2TB,addlinks70litessdnvmepcie3x4m22tb,,,,43500.0,Out of Stock,https://www.nanotek.lk/product/addlink-s70-lite-ssd-nvme-pcie-gen3x4-m2-2tb,,,,,,
ADDLINK S85 NVME GEN4 2TB,addlinks85nvme42tb,,,,46500.0,Out of Stock,https://www.nanotek.lk/product/addlink-s85-nvme-gen4-2tb,,,,,,
SAMSUNG 870 EVO 500GB,samsung870evo500gb,,,,26500.0,Out of Stock,https://www.nanotek.lk/product/samsung-870-evo-500gb,,,,,,
ADDLINK S70 LITE SSD NVME PCIE GEN3X4 M.2 512GB,addlinks70litessdnvmepcie3x4m2512gb,,,,17500.0,Out of Stock,https://www.nanotek.lk/product/addlink-s70-lite-ssd-nvme-pcie-gen3x4-m2-512gb,,,,,,
Team T-Force CARDEA Z540 GEN5 2TB,teamtforcecardeaz54052tb,,,,79500.0,In Stock,https://www.nanotek.lk/product/team-t-force-cardea-z540-gen5-2tb,,,,,,
"Western Digital Blue 1TB 3.5"" SATA Desktop HDD",westerndigitalblue1tb35satahdd,,,,24500.0,In Stock,https://www.nanotek.lk/product/western-digital-blue-1tb-35-sata-desktop-hdd,,,,,,
LEXAR NQ700 Gen.4 M.2 SSD 1TB,lexarnq7004m2ssd1tb,,,,26000.0,Out of Stock,https://www.nanotek.lk/product/lexar-nq700-gen4-m2-ssd-1tb,,,,,,
TEAM T-FORCE  G50  NVME GEN4 1TB,teamtforceg50nvme41tb,,,,23000.0,Out of Stock,https://www.nanotek.lk/product/team-t-force-g50-nvme-gen4-1tb,,,,,,
ADDLINK S85 NVME GEN4 1TB,addlinks85nvme41tb,,,,23000.0,Out of Stock,https://www.nanotek.lk/product/addlink-s85-nvme-gen4-1tb,,,,,,
TEAM T-FORCE G50 NVME GEN4 2TB,teamtforceg50nvme42tb,,,,39500.0,Out of Stock,https://www.nanotek.lk/product/team-t-force-g50-nvme-gen4-2tb,,,,,,
Seagate IronWolf 5400RPM 256MB 2TB,seagateironwolf5400rpm256mb2tb,,,,42500.0,In Stock,https://www.nanotek.lk/product/seagate-ironwolf-5400rpm-256mb-2tb,,,,,,
SEAGATE EXOS X16 - 16TB,seagateexosx1616tb,,,,129000.0,Out of Stock,https://www.nanotek.lk/product/seagate-exos-x16-16tb-1,,,,,,
SanDisk Extreme NVMe 5000Mb/s GEN4 500GB,sandiskextremenvme5000mbs4500gb,,,,12000.0,Out of Stock,https://www.nanotek.lk/product/sandisk-extreme-nvme-5000mbs-gen4-500gb,,,,,,
ASUSTOR DRIVESTOR 4 (AS1104T) NAS,asustordrivestor4nas,,,,165000.0,In Stock,https://www.nanotek.lk/product/asustor-drivestor-4-as1104t-nas,,,,,,
ASUSTOR LOCKERSTOR 2 (AS6602T) 2 BAY WITH 2 M.2 SLOTS,asustorlockerstor22bay2m2slots,,,,189000.0,Out of Stock,https://www.nanotek.lk/product/asustor-lockerstor-2-as6602t-2-bay-with-2-m2-slots,,,,,,
Team Group T-FORCE G70 PRO 1TB PCIe 4.0 x4 TLC,teamgrouptforceg70pro1tbpcie40x4tlc,,,,26000.0,Out of Stock,https://www.nanotek.lk/product/team-group-t-force-g70-pro-1tb-pcie-40-x4-tlc,,,,,,
SAMSUNG 870 QVO 1TB,samsung870qvo1tb,,,,28000.0,Out of Stock,https://www.nanotek.lk/product/samsung-870-qvo-1tb,,,,,,
ASUSTOR DRIVESTOR 2 (AS1102T) NAS,asustordrivestor2nas,,,,115000.0,Out of Stock,https://www.nanotek.lk/product/asustor-drivestor-2-as1102t-nas,,,,,,
ASUSTOR FLASHSTOR 6 (FS6706T) - 6x M.2 NVMe slots,asustorflashstor66xm2nvmeslots,,,,264000.0,In Stock,https://www.nanotek.lk/product/asustor-flashstor-6-fs6706t-6x-m2-nvme-slots,,,,,,
Corsair EX300U 1TB USB Type-C External SSD,corsairex300u1tbusbtypecexternalssd,,,,45500.0,In stock,https://www.nanotek.lk/product/corsair-ex300u-1tb-usb-type-c-external-ssd,,,,,,
ASUS TUF Gaming AS1000 PLUS 1TB,asustufas1000plus1tb,,,,37000.0,Out of stock,https://www.nanotek.lk/product/asus-tuf-gaming-as1000-plus-1tb,,,,,,
ASUS SDRW-08D2S-U LITE portable 8X DVD Writer,asussdrw08d2suliteportable8xdvdwriter,,,,10000.0,In Stock,https://www.nanotek.lk/product/asus-sdrw-08d2s-u-lite-portable-8x-dvd-writer,,,,,,
Samsung Portable SSD T9 USB 3.2 1TB - 4TB,samsungportablessdt9usb321tb4tb,,,,48500.0,Out of Stock,https://www.nanotek.lk/product/samsung-portable-ssd-t9-usb-32-1tb-4tb,,,,,,
Transcend StoreJet 25M3 4TB USB 3.1 Gen 1,transcendstorejet25m34tbusb311,,,,44500.0,Out of Stock,https://www.nanotek.lk/product/transcend-storejet-25m3-4tb-usb-31-gen-1,,,,,,
UGREEN CM400 M.2 NVME & SATA USB-C/ USB-A ENCLOSURE - 90264,ugreencm400m2nvmesatausbcusbaenclosure90264,,,,8500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-cm400-m2-nvme-sata-usb-c-usb-a-enclosure-90264,,,,,,
UGREEN 2.5 HDD / SATA SSD ENCLOSURE DETACHABLE  TYPE C - 50743,ugreen25hddsatassdenclosuredetachabletypec50743,,,,4500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-25-hdd-sata-ssd-enclosure-detachable-type-c-50743,,,,,,
UGREEN M.2 NVME & SATA  USB-C RGB ENCLOSURE - 25665,ugreenm2nvmesatausbcrgbenclosure25665,,,,12500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-m2-nvme-sata-usb-c-rgb-enclosure-25665,,,,,,
UGREEN M.2 NVMe SSD Enclosure 10Gbps - 35267,ugreenm2nvmessdenclosure10gbps35267,,,,6000.0,Out of Stock,https://www.nanotek.lk/product/ugreen-m2-nvme-ssd-enclosure-10gbps-35267,,,,,,
SanDisk Ultra Dual Drive Luxe USB Type-C Flash Drive,sandiskultradualdriveluxeusbtypecflashdrive,,,,6500.0,Out of Stock,https://www.nanotek.lk/product/sandisk-ultra-dual-drive-luxe-usb-type-c-flash-drive,,,,,,
SANDISK RED CRUZER BLADE USB FLASH DRIVE,sandiskredcruzerbladeusbflashdrive,,,,3000.0,Out of Stock,https://www.nanotek.lk/product/sandisk-red-cruzer-blade-usb-flash-drive,,,,,,
SANDISK EXTREME PORTABLE SSD 1TB - 4TB,sandiskextremeportablessd1tb4tb,,,,39500.0,Out of Stock,https://www.nanotek.lk/product/sandisk-extreme-portable-ssd-1tb-4tb,,,,,,
"Addlink P30 1TB Magnetic Portable External SSD 4,000MB/s USB Type C 4.0 (Magsafe Support)",addlinkp301tbmagneticportableexternalssd4000mbsusbtypec40,,,,44500.0,In Stock,https://www.nanotek.lk/product/addlink-p30-1tb-magnetic-portable-external-ssd-4000mbs-usb-type-c-40-magsafe-support,,,,,,
UGREEN M.2 SSD ENCLOSURE TYPE C - 10902,ugreenm2ssdenclosuretypec10902,,,,6500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-m2-ssd-enclosure-type-c-10902,,,,,,
UGREEN EXTERNAL HDD CASE SMALL - 40707,ugreenexternalhddcasesmall40707,,,,2500.0,In Stock,https://www.nanotek.lk/product/ugreen-external-hdd-case-small-40707,,,,,,
UGREEN 2.5 SATA ENCLOSURE DETACHABLE CABLE - 30848,ugreen25sataenclosuredetachablecable30848,,,,4000.0,Out of Stock,https://www.nanotek.lk/product/ugreen-25-sata-enclosure-detachable-cable-30848,,,,,,
SAMSUNG T7 Shield 1TB - 4TB Portable SSD,samsungt7shield1tb4tbportablessd,,,,54500.0,In Stock,https://www.nanotek.lk/product/samsung-t7-shield-1tb-4tb-portable-ssd,,,,,,
"Addlink P21 Portable SSD 1TB - 2TB , 2000Mb/s",addlinkp21portablessd1tb2tb2000mbs,,,,30500.0,Out of Stock,https://www.nanotek.lk/product/addlink-p21-portable-ssd-1tb-2tb-2000mbs,,,,,,
Corsair EX100U Portable USB Type-C SSD 1TB - 4TB,corsairex100uportableusbtypecssd1tb4tb,,,,138000.0,In Stock,https://www.nanotek.lk/product/corsair-ex100u-portable-usb-type-c-ssd-1tb-4tb,,,,,,
TEAM TFORCE M200 PORTABLE SSD 2000 Mb/s  500GB - 2TB,teamtforcem200portablessd2000mbs500gb2tb,,,,26500.0,In Stock,https://www.nanotek.lk/product/team-tforce-m200-portable-ssd-2000-mbs-500gb-2tb-1,,,,,,
WD MY PASSPORT External Hard Disk 1TB - 6TB,wdmypassportexternalharddisk1tb6tb,,,,27000.0,In Stock,https://www.nanotek.lk/product/wd-my-passport-external-hard-disk-1tb-6tb,,,,,,
Transcend StoreJet 25H3 USB 3.1 Gen 1 1TB - 4TB,transcendstorejet25h3usb3111tb4tb,,,,28500.0,In Stock,https://www.nanotek.lk/product/transcend-storejet-25h3-usb-31-gen-1-1tb-4tb,,,,,,
TEAM X1 MAX 128GB/256GB Type C 1000MB/s,teamx1max128gb256gbtypec1000mbs,,,,8500.0,Out of Stock,https://www.nanotek.lk/product/team-x1-max-128gb256gb-type-c-1000mbs,,,,,,
SanDisk Ultra Dual Drive Go Type-C 64GB - 128GB,sandiskultradualdrivegotypec64gb128gb,,,,5500.0,In Stock,https://www.nanotek.lk/product/sandisk-ultra-dual-drive-go-type-c-64gb-128gb,,,,,,
TEAM X1 USB 3.2 Gen1 DUAL DRIVE 64GB - 128GB,teamx1usb321dualdrive64gb128gb,,,,4500.0,Out of Stock,https://www.nanotek.lk/product/team-x1-usb-32-gen1-dual-drive-64gb-128gb-1,,,,,,
Adata UR340 Pendrive 64GB/128GB,adataur340pendrive64gb128gb,,,,2000.0,Out of Stock,https://www.nanotek.lk/product/adata-ur340-pendrive-64gb128gb,,,,,,
GIGABYTE 2.5″ 256GB SATA III SSD (Not Sold Separately),gigabyte25256gbsataiiissd,,,,,,,,,,15000.0,In Stock,https://www.winsoft.lk/product/gigabyte-2-5-256gb-sata-iii-ssd/
PNY CS900 250GB 2.5” SATA III SSD (Not Sold Separately),pnycs900250gb25sataiiissd,,,,,,,,,,15000.0,In Stock,https://www.winsoft.lk/product/pny-cs900-250gb-2-5-sata-iii-ssd/
Lexar NS100 256GB 2.5” SATA III SSD (Not Sold Separately),lexarns100256gb25sataiiissd,,,,,,,,,,15000.0,In Stock,https://www.winsoft.lk/product/lexar-ns100-256gb-ssd/
GIGABYTE 256GB M.2 PCIe NVMe SSD (Not Sold Separately),gigabyte256gbm2pcienvmessd,,,,,,,,,,21000.0,In Stock,https://www.winsoft.lk/product/gigabyte-256gb-m-2-pcie-nvme-ssd/
PNY CS900 500GB 2.5” SATA III SSD,pnycs900500gb25sataiiissd,,,,,,,,,,32000.0,In Stock,https://www.winsoft.lk/product/pny-cs900-500gb-2-5-sata-iii-ssd/
GIGABYTE Gen4 4000E 500GB NVMe SSD (Not Sold Separately),gigabyte44000e500gbnvmessd,,,,,,,,,,30000.0,In Stock,https://www.winsoft.lk/product/gigabyte-gen4-4000e-500gb-nvme-ssd/
GIGABYTE Gen3 2500E SSD 1TB NVMe SSD (Not Sold Separately),gigabyte32500essd1tbnvmessd,,,,,,,,,,44000.0,In Stock,https://www.winsoft.lk/product/gigabyte-gen3-2500e-ssd-1tb-nvme-ssd/
AORUS Gen4 5000E 500GB NVMe SSD (Not Sold Separately),aorus45000e500gbnvmessd,,,,,,,,,,33500.0,In Stock,https://www.winsoft.lk/product/aorus-gen4-5000e-500gb-nvme-ssd/
Lexar NS100 1TB 2.5” SATA III SSD (Not Sold Separately),lexarns1001tb25sataiiissd,,,,,,,,,,41000.0,In Stock,https://www.winsoft.lk/product/lexar-ns100-1tb-ssd/
